storage-acre-ft,elev-ft
0,2137
9,2138
18,2139
28,2140
40,2141
55,2142
72,2143
92,2144
115,2145
139,2146
165,2147
193,2148
222,2149
254,2150
286,2151
319,2152
353,2153
388,2154
424,2155
462,2156
501,2157
542,2158
586,2159
631,2160
678,2161
725,2162
774,2163
825,2164
876,2165
929,2166
984,2167
1040,2168
1100,2169
1160,2170
1220,2171
1290,2172
1350,2173
1410,2174
1470,2175
1540,2176
1600,2177
1670,2178
1730,2179
1800,2180
1860,2181
1930,2182
2000,2183
2070,2184
2140,2185
2210,2186
2280,2187
2360,2188
2430,2189
2500,2190
2570,2191
2650,2192
2720,2193
2800,2194
2880,2195
2970,2196
3050,2197
3140,2198
3230,2199
3330,2200
3420,2201
3520,2202
3620,2203
3720,2204
3820,2205
3920,2206
4030,2207
4130,2208
4250,2209
4360,2210
4480,2211
4600,2212
4720,2213
4850,2214
4970,2215
5100,2216
5220,2217
5350,2218
5480,2219
5610,2220
5740,2221
5870,2222
6010,2223
6140,2224
6170,2225
